,Answer List Total,Answer List Position 1,Answer List Position 2,Answer List Position 3,Answer List Position 4,Answer List Position 5,Total,Position 1,Position 2,Position 3,Position 4,Position 5
a,909,141,304,307,163,64,5330,737,2263,1236,1074,680
b,267,173,16,57,24,11,1519,909,81,335,243,59
c,448,198,40,56,152,31,1920,922,176,392,411,127
d,370,111,20,75,69,118,2298,685,84,390,471,823
e,1056,72,242,177,318,424,5705,303,1628,882,2327,1522
f,207,136,8,25,35,26,990,598,24,178,233,82
g,300,115,12,67,76,41,1543,638,76,364,423,143
h,379,69,144,9,28,139,1708,489,546,120,235,370
i,647,34,202,266,158,11,3589,165,1383,1051,880,280
j,27,20,2,3,2,0,289,202,11,46,29,3
k,202,20,10,12,55,113,1444,376,95,272,503,259
l,648,88,201,112,162,156,3114,577,699,848,771,476
m,298,107,38,61,68,42,1868,693,188,511,402,182
n,550,37,87,139,182,130,2787,325,345,964,788,530
o,673,41,279,244,132,58,3911,262,2096,993,698,389
p,346,142,61,58,50,56,1885,859,231,364,418,147
q,29,23,5,1,0,0,111,78,15,13,2,4
r,837,105,267,163,152,212,3909,628,940,1198,719,673
s,618,366,16,80,171,36,5936,1565,93,533,516,3958
t,667,149,77,111,139,253,3033,815,239,616,898,727
u,457,33,186,165,82,1,2436,189,1187,667,401,67
v,149,43,15,49,46,0,674,242,52,240,156,4
w,194,83,44,26,25,17,1028,413,163,271,128,64
x,37,0,14,12,3,8,287,16,57,133,12,70
y,417,6,23,29,3,364,2031,181,271,213,108,1301
z,35,3,2,11,20,4,391,105,29,142,126,32
