,Total,Position 1,Position 2,Position 3,Position 4,Position 5
a,270,36,92,33,0,155
b,36,24,2,8,3,0
c,100,44,12,19,42,0
d,53,14,4,11,24,1
e,174,7,72,34,8,79
f,42,38,2,1,2,0
g,53,21,3,18,12,0
h,2,0,0,0,2,0
i,129,4,56,36,26,14
j,0,0,0,0,0,0
k,0,0,0,0,0,0
l,87,23,10,38,28,1
m,77,38,9,11,24,2
n,104,10,10,54,45,0
o,293,9,86,37,2,209
p,82,53,10,7,16,0
q,4,3,0,1,0,0
r,159,19,32,62,53,1
s,126,62,7,41,38,2
t,144,27,10,28,105,3
u,73,11,43,14,6,0
v,40,18,6,4,14,0
w,0,0,0,0,0,0
x,1,0,1,0,0,0
y,0,0,0,0,0,0
z,23,6,0,10,17,0
